Dataset,R,Alpha_Min,Alpha_Max,Algorithm,L,QPS,Latency,Recall
gist,48,1.1,1.3,MCGI,50,479.32,63157.74,79.04
gist,48,1.1,1.3,MCGI,100,261.24,113882.26,89.85
gist,48,1.1,1.3,MCGI,150,153.75,199040.33,94.02
gist,48,1.1,1.3,MCGI,200,131.26,231701.40,95.98
gist,48,1.1,1.4,Baseline,50,1335.47,20304.52,79.30
gist,48,1.1,1.4,Baseline,100,736.09,39071.56,90.13
gist,48,1.1,1.4,Baseline,150,108.10,285582.78,93.97
gist,48,1.1,1.4,Baseline,200,57.71,548027.76,96.13
gist,48,1.1,1.4,MCGI,50,471.70,64368.03,79.11
gist,48,1.1,1.4,MCGI,100,240.23,125241.93,90.16
gist,48,1.1,1.4,MCGI,150,160.15,189684.80,94.21
gist,48,1.1,1.4,MCGI,200,127.75,240232.73,96.28
gist,48,1.1,1.5,Baseline,50,1335.47,20304.52,79.30
gist,48,1.1,1.5,Baseline,100,736.09,39071.56,90.13
gist,48,1.1,1.5,Baseline,150,108.10,285582.78,93.97
gist,48,1.1,1.5,Baseline,200,57.71,548027.76,96.13
gist,48,1.1,1.5,MCGI,50,461.99,65632.04,79.36
gist,48,1.1,1.5,MCGI,100,252.01,120121.72,90.15
gist,48,1.1,1.5,MCGI,150,160.16,189805.53,94.36
gist,48,1.1,1.5,MCGI,200,130.19,235207.10,96.18
gist,48,1.1,1.6,Baseline,50,1335.47,20304.52,79.30
gist,48,1.1,1.6,Baseline,100,736.09,39071.56,90.13
gist,48,1.1,1.6,Baseline,150,108.10,285582.78,93.97
gist,48,1.1,1.6,Baseline,200,57.71,548027.76,96.13
gist,48,1.1,1.6,MCGI,50,466.91,64947.71,79.53
gist,48,1.1,1.6,MCGI,100,287.98,102961.58,89.95
gist,48,1.1,1.6,MCGI,150,160.56,189151.98,94.23
gist,48,1.1,1.6,MCGI,200,130.48,232731.52,96.31
gist,48,1.1,1.7,Baseline,50,1335.47,20304.52,79.30
gist,48,1.1,1.7,Baseline,100,736.09,39071.56,90.13
gist,48,1.1,1.7,Baseline,150,108.10,285582.78,93.97
gist,48,1.1,1.7,Baseline,200,57.71,548027.76,96.13
gist,48,1.1,1.7,MCGI,50,458.75,66124.39,79.48
gist,48,1.1,1.7,MCGI,100,251.98,119367.72,90.12
gist,48,1.1,1.7,MCGI,150,167.43,184282.57,94.50
gist,48,1.1,1.7,MCGI,200,131.16,234549.36,96.45
gist,48,1.1,2.0,Baseline,50,1335.47,20304.52,79.30
gist,48,1.1,2.0,Baseline,100,736.09,39071.56,90.13
gist,48,1.1,2.0,Baseline,150,108.10,285582.78,93.97
gist,48,1.1,2.0,Baseline,200,57.71,548027.76,96.13
gist,48,1.1,2.0,MCGI,50,454.11,66942.54,79.75
gist,48,1.1,2.0,MCGI,100,208.17,147049.07,90.27
gist,48,1.1,2.0,MCGI,150,156.88,195747.41,94.37
gist,48,1.1,2.0,MCGI,200,132.31,232287.52,96.42
gist,64,1.0,1.1,Baseline,50,348.40,86247.32,82.15
gist,64,1.0,1.1,Baseline,100,97.24,319546.60,91.96
gist,64,1.0,1.1,Baseline,150,64.41,483106.31,95.29
gist,64,1.0,1.1,Baseline,200,64.57,487315.71,96.92
gist,64,1.0,1.1,MCGI,50,606.59,48113.98,80.61
gist,64,1.0,1.1,MCGI,100,326.02,92125.13,90.87
gist,64,1.0,1.1,MCGI,150,228.87,132884.33,94.73
gist,64,1.0,1.1,MCGI,200,174.02,175162.85,96.43
gist,64,1.0,1.2,Baseline,50,348.40,86247.32,82.15
gist,64,1.0,1.2,Baseline,100,97.24,319546.60,91.96
gist,64,1.0,1.2,Baseline,150,64.41,483106.31,95.29
gist,64,1.0,1.2,Baseline,200,64.57,487315.71,96.92
gist,64,1.0,1.2,MCGI,50,157.66,195904.19,80.60
gist,64,1.0,1.2,MCGI,100,125.96,243769.83,90.95
gist,64,1.0,1.2,MCGI,150,96.13,322218.54,94.83
gist,64,1.0,1.2,MCGI,200,81.19,379450.57,96.45
gist,64,1.0,1.3,Baseline,50,348.40,86247.32,82.15
gist,64,1.0,1.3,Baseline,100,97.24,319546.60,91.96
gist,64,1.0,1.3,Baseline,150,64.41,483106.31,95.29
gist,64,1.0,1.3,Baseline,200,64.57,487315.71,96.92
gist,64,1.0,1.3,MCGI,50,166.00,185904.51,80.81
gist,64,1.0,1.3,MCGI,100,128.18,241135.75,91.32
gist,64,1.0,1.3,MCGI,150,101.99,303437.57,94.98
gist,64,1.0,1.3,MCGI,200,83.43,368549.14,96.65
gist,64,1.0,1.4,Baseline,50,348.40,86247.32,82.15
gist,64,1.0,1.4,Baseline,100,97.24,319546.60,91.96
gist,64,1.0,1.4,Baseline,150,64.41,483106.31,95.29
gist,64,1.0,1.4,Baseline,200,64.57,487315.71,96.92
gist,64,1.0,1.4,MCGI,50,202.60,149828.31,81.66
gist,64,1.0,1.4,MCGI,100,131.24,235509.75,91.72
gist,64,1.0,1.4,MCGI,150,104.33,295373.59,95.31
gist,64,1.0,1.4,MCGI,200,82.89,369235.97,96.87
gist,64,1.0,1.5,Baseline,50,348.40,86247.32,82.15
gist,64,1.0,1.5,Baseline,100,97.24,319546.60,91.96
gist,64,1.0,1.5,Baseline,150,64.41,483106.31,95.29
gist,64,1.0,1.5,Baseline,200,64.57,487315.71,96.92
gist,64,1.0,1.5,MCGI,50,153.85,202239.21,81.91
gist,64,1.0,1.5,MCGI,100,123.49,251090.88,91.83
gist,64,1.0,1.5,MCGI,150,100.17,307171.21,95.42
gist,64,1.0,1.5,MCGI,200,80.80,381357.28,96.96
gist,64,1.0,1.6,Baseline,50,348.40,86247.32,82.15
gist,64,1.0,1.6,Baseline,100,97.24,319546.60,91.96
gist,64,1.0,1.6,Baseline,150,64.41,483106.31,95.29
gist,64,1.0,1.6,Baseline,200,64.57,487315.71,96.92
gist,64,1.0,1.6,MCGI,50,176.53,174115.95,81.94
gist,64,1.0,1.6,MCGI,100,129.72,236344.87,91.76
gist,64,1.0,1.6,MCGI,150,96.78,316769.81,95.39
gist,64,1.0,1.6,MCGI,200,80.71,384262.39,96.96
gist,64,1.0,1.7,Baseline,50,348.40,86247.32,82.15
gist,64,1.0,1.7,Baseline,100,97.24,319546.60,91.96
gist,64,1.0,1.7,Baseline,150,64.41,483106.31,95.29
gist,64,1.0,1.7,Baseline,200,64.57,487315.71,96.92
gist,64,1.0,1.7,MCGI,50,192.21,157702.67,82.05
gist,64,1.0,1.7,MCGI,100,132.26,232412.04,92.08
gist,64,1.0,1.7,MCGI,150,101.29,304045.16,95.45
gist,64,1.0,1.7,MCGI,200,83.49,366912.66,96.97
gist,64,1.0,2.0,Baseline,50,348.40,86247.32,82.15
gist,64,1.0,2.0,Baseline,100,97.24,319546.60,91.96
gist,64,1.0,2.0,Baseline,150,64.41,483106.31,95.29
gist,64,1.0,2.0,Baseline,200,64.57,487315.71,96.92
gist,64,1.0,2.0,MCGI,50,197.78,154792.86,82.19
gist,64,1.0,2.0,MCGI,100,130.09,236197.08,92.08
gist,64,1.0,2.0,MCGI,150,97.89,313871.70,95.40
gist,64,1.0,2.0,MCGI,200,82.61,374723.04,96.92
gist,64,1.1,1.2,Baseline,50,348.40,86247.32,82.15
gist,64,1.1,1.2,Baseline,100,97.24,319546.60,91.96
gist,64,1.1,1.2,Baseline,150,64.41,483106.31,95.29
gist,64,1.1,1.2,Baseline,200,64.57,487315.71,96.92
gist,64,1.1,1.2,MCGI,50,173.45,177074.11,80.56
gist,64,1.1,1.2,MCGI,100,128.97,239048.39,91.00
gist,64,1.1,1.2,MCGI,150,103.20,299423.77,94.75
gist,64,1.1,1.2,MCGI,200,78.98,389849.35,96.37
gist,64,1.1,1.3,Baseline,50,348.40,86247.32,82.15
gist,64,1.1,1.3,Baseline,100,97.24,319546.60,91.96
gist,64,1.1,1.3,Baseline,150,64.41,483106.31,95.29
gist,64,1.1,1.3,Baseline,200,64.57,487315.71,96.92
gist,64,1.1,1.3,MCGI,50,200.82,152924.93,81.62
gist,64,1.1,1.3,MCGI,100,130.65,235863.64,91.64
gist,64,1.1,1.3,MCGI,150,103.53,295320.49,95.22
gist,64,1.1,1.3,MCGI,200,85.40,359920.03,96.78
gist,64,1.1,1.4,Baseline,50,348.40,86247.32,82.15
gist,64,1.1,1.4,Baseline,100,97.24,319546.60,91.96
gist,64,1.1,1.4,Baseline,150,64.41,483106.31,95.29
gist,64,1.1,1.4,Baseline,200,64.57,487315.71,96.92
gist,64,1.1,1.4,MCGI,50,187.86,164695.89,81.85
gist,64,1.1,1.4,MCGI,100,134.82,228715.24,91.74
gist,64,1.1,1.4,MCGI,150,106.24,291050.33,95.40
gist,64,1.1,1.4,MCGI,200,81.92,376002.94,96.97
gist,64,1.1,1.5,Baseline,50,348.40,86247.32,82.15
gist,64,1.1,1.5,Baseline,100,97.24,319546.60,91.96
gist,64,1.1,1.5,Baseline,150,64.41,483106.31,95.29
gist,64,1.1,1.5,Baseline,200,64.57,487315.71,96.92
gist,64,1.1,1.5,MCGI,50,208.55,146339.88,81.88
gist,64,1.1,1.5,MCGI,100,124.86,245975.84,91.68
gist,64,1.1,1.5,MCGI,150,98.59,312072.42,95.36
gist,64,1.1,1.5,MCGI,200,81.77,374934.00,96.88
gist,64,1.1,1.6,Baseline,50,348.40,86247.32,82.15
gist,64,1.1,1.6,Baseline,100,97.24,319546.60,91.96
gist,64,1.1,1.6,Baseline,150,64.41,483106.31,95.29
gist,64,1.1,1.6,Baseline,200,64.57,487315.71,96.92
gist,64,1.1,1.6,MCGI,50,208.24,146687.42,82.12
gist,64,1.1,1.6,MCGI,100,133.34,230569.76,91.99
gist,64,1.1,1.6,MCGI,150,99.93,309502.40,95.55
gist,64,1.1,1.6,MCGI,200,85.34,359697.93,96.99
gist,64,1.1,1.7,Baseline,50,348.40,86247.32,82.15
gist,64,1.1,1.7,Baseline,100,97.24,319546.60,91.96
gist,64,1.1,1.7,Baseline,150,64.41,483106.31,95.29
gist,64,1.1,1.7,Baseline,200,64.57,487315.71,96.92
gist,64,1.1,1.7,MCGI,50,202.85,151907.01,82.18
gist,64,1.1,1.7,MCGI,100,128.46,241320.85,92.05
gist,64,1.1,1.7,MCGI,150,100.22,308265.88,95.54
gist,64,1.1,1.7,MCGI,200,81.50,376830.44,97.02
gist,64,1.1,2.0,Baseline,50,348.40,86247.32,82.15
gist,64,1.1,2.0,Baseline,100,97.24,319546.60,91.96
gist,64,1.1,2.0,Baseline,150,64.41,483106.31,95.29
gist,64,1.1,2.0,Baseline,200,64.57,487315.71,96.92
gist,64,1.1,2.0,MCGI,50,206.76,147038.08,82.17
gist,64,1.1,2.0,MCGI,100,122.80,252522.93,92.21
gist,64,1.1,2.0,MCGI,150,95.02,324841.38,95.51
gist,64,1.1,2.0,MCGI,200,81.37,377198.45,97.03
glove,32,1.0,1.1,Baseline,50,1218.42,24827.08,75.67
glove,32,1.0,1.1,Baseline,100,693.17,43909.29,82.54
glove,32,1.0,1.1,Baseline,150,405.94,76277.61,85.75
glove,32,1.0,1.1,Baseline,200,373.36,82757.24,87.78
