Dataset,R,Alpha_Min,Alpha_Max,Algorithm,L,QPS,Latency,Recall
gist,64,1.0,1.2,Baseline,100,97.24,319546.60,91.96
gist,64,1.0,1.2,Baseline,100,92.37,336255.69,92.55
gist,64,1.0,1.2,Baseline,100,89.44,346752.51,90.62
gist,64,1.0,1.2,Baseline,150,64.72,483026.43,95.32
gist,64,1.0,1.2,Baseline,150,64.38,484506.79,95.65
gist,64,1.0,1.2,Baseline,150,64.41,483106.31,95.29
gist,64,1.0,1.2,Baseline,150,61.82,505711.13,95.90
gist,64,1.0,1.2,Baseline,150,60.86,510461.37,94.61
gist,64,1.0,1.2,Baseline,200,56.15,561815.47,96.87
gist,64,1.0,1.2,Baseline,200,56.58,557334.90,97.34
gist,64,1.0,1.2,Baseline,200,64.57,487315.71,96.92
gist,64,1.0,1.2,Baseline,200,53.78,586646.25,97.36
gist,64,1.0,1.2,Baseline,200,58.29,540659.19,96.55
gist,64,1.0,1.2,MCGI,50,671.22,43366.35,80.34
gist,64,1.0,1.2,MCGI,50,627.74,46779.24,81.25
gist,64,1.0,1.2,MCGI,50,155.83,199242.09,80.56
gist,64,1.0,1.2,MCGI,50,653.13,44992.90,80.70
gist,64,1.0,1.2,MCGI,50,656.90,44261.58,79.44
gist,64,1.0,1.2,MCGI,100,370.87,80604.49,90.37
gist,64,1.0,1.2,MCGI,100,342.54,87584.44,91.31
gist,64,1.0,1.2,MCGI,100,124.78,247515.40,90.71
gist,64,1.0,1.2,MCGI,100,361.26,82827.62,91.54
gist,64,1.0,1.2,MCGI,100,362.36,82508.81,89.77
gist,64,1.0,1.2,MCGI,150,253.71,119761.32,94.40
gist,64,1.0,1.2,MCGI,150,236.37,128734.44,94.89
gist,64,1.0,1.2,MCGI,150,95.81,322001.85,94.79
gist,64,1.0,1.2,MCGI,150,247.11,122904.28,95.17
gist,64,1.0,1.2,MCGI,150,247.38,122746.43,93.87
gist,64,1.0,1.2,MCGI,200,190.65,159267.15,96.37
gist,64,1.0,1.2,MCGI,200,178.41,170269.25,96.61
gist,64,1.0,1.2,MCGI,200,80.52,381714.51,96.50
gist,64,1.0,1.2,MCGI,200,189.56,160167.95,96.84
gist,64,1.0,1.2,MCGI,200,188.75,160846.63,95.99
gist,64,1.0,1.5,Baseline,50,348.40,86247.32,82.15
gist,64,1.0,1.5,Baseline,50,632.25,46455.50,82.43
gist,64,1.0,1.5,Baseline,50,548.82,51678.25,80.62
gist,64,1.0,1.5,Baseline,50,685.66,42767.64,81.76
gist,64,1.0,1.5,Baseline,50,717.00,40031.31,81.22
gist,64,1.0,1.5,Baseline,100,97.24,319546.60,91.96
gist,64,1.0,1.5,Baseline,100,92.37,336255.69,92.55
gist,64,1.0,1.5,Baseline,100,89.44,346752.51,90.62
gist,64,1.0,1.5,Baseline,100,93.43,331773.18,91.84
gist,64,1.0,1.5,Baseline,100,95.19,326552.52,91.38
gist,64,1.0,1.5,Baseline,150,64.41,483106.31,95.29
gist,64,1.0,1.5,Baseline,150,61.82,505711.13,95.90
gist,64,1.0,1.5,Baseline,150,60.86,510461.37,94.61
gist,64,1.0,1.5,Baseline,150,64.38,484506.79,95.65
gist,64,1.0,1.5,Baseline,150,64.72,483026.43,95.32
gist,64,1.0,1.5,Baseline,200,64.57,487315.71,96.92
gist,64,1.0,1.5,Baseline,200,53.78,586646.25,97.36
gist,64,1.0,1.5,Baseline,200,58.29,540659.19,96.55
gist,64,1.0,1.5,Baseline,200,56.58,557334.90,97.34
gist,64,1.0,1.5,Baseline,200,56.15,561815.47,96.87
gist,64,1.0,1.5,MCGI,50,212.01,144283.71,81.87
gist,64,1.0,1.5,MCGI,50,157.35,196812.71,81.94
gist,64,1.0,1.5,MCGI,50,150.58,205895.01,79.73
gist,64,1.0,1.5,MCGI,50,208.30,145856.55,82.09
gist,64,1.0,1.5,MCGI,50,173.72,176780.89,81.01
gist,64,1.0,1.5,MCGI,100,126.02,244852.46,91.83
gist,64,1.0,1.5,MCGI,100,125.36,244926.45,92.25
gist,64,1.0,1.5,MCGI,100,127.47,241834.83,90.08
gist,64,1.0,1.5,MCGI,100,128.93,238628.68,91.90
gist,64,1.0,1.5,MCGI,100,132.75,232007.15,90.93
gist,64,1.0,1.5,MCGI,150,100.99,305880.09,95.53
gist,64,1.0,1.5,MCGI,150,100.35,307528.88,96.05
gist,64,1.0,1.5,MCGI,150,99.39,311197.48,94.21
gist,64,1.0,1.5,MCGI,150,98.96,312065.19,95.67
gist,64,1.0,1.5,MCGI,150,99.69,310402.56,94.93
gist,64,1.0,1.5,MCGI,200,83.78,367332.16,97.08
gist,64,1.0,1.5,MCGI,200,78.82,390229.71,97.50
gist,64,1.0,1.5,MCGI,200,77.46,396202.33,96.22
gist,64,1.0,1.5,MCGI,200,80.90,380652.20,97.23
gist,64,1.0,1.5,MCGI,200,81.42,378549.11,96.76
gist,64,1.0,1.8,Baseline,50,348.40,86247.32,82.15
gist,64,1.0,1.8,Baseline,50,548.82,51678.25,80.62
gist,64,1.0,1.8,Baseline,50,685.66,42767.64,81.76
gist,64,1.0,1.8,Baseline,50,717.00,40031.31,81.22
gist,64,1.0,1.8,Baseline,50,632.25,46455.50,82.43
gist,64,1.0,1.8,Baseline,100,97.24,319546.60,91.96
gist,64,1.0,1.8,Baseline,100,89.44,346752.51,90.62
gist,64,1.0,1.8,Baseline,100,93.43,331773.18,91.84
gist,64,1.0,1.8,Baseline,100,95.19,326552.52,91.38
gist,64,1.0,1.8,Baseline,100,92.37,336255.69,92.55
gist,64,1.0,1.8,Baseline,150,64.41,483106.31,95.29
gist,64,1.0,1.8,Baseline,150,60.86,510461.37,94.61
gist,64,1.0,1.8,Baseline,150,64.38,484506.79,95.65
gist,64,1.0,1.8,Baseline,150,64.72,483026.43,95.32
gist,64,1.0,1.8,Baseline,150,61.82,505711.13,95.90
gist,64,1.0,1.8,Baseline,200,64.57,487315.71,96.92
gist,64,1.0,1.8,Baseline,200,58.29,540659.19,96.55
gist,64,1.0,1.8,Baseline,200,56.58,557334.90,97.34
gist,64,1.0,1.8,Baseline,200,56.15,561815.47,96.87
gist,64,1.0,1.8,Baseline,200,53.78,586646.25,97.36
gist,64,1.0,1.8,MCGI,50,240.76,127031.28,82.13
gist,64,1.0,1.8,MCGI,50,176.69,173679.27,79.85
gist,64,1.0,1.8,MCGI,50,181.93,169569.54,82.37
gist,64,1.0,1.8,MCGI,50,217.96,140328.40,81.18
gist,64,1.0,1.8,MCGI,50,219.18,139015.32,81.99
gist,64,1.0,1.8,MCGI,100,127.84,242498.40,92.15
gist,64,1.0,1.8,MCGI,100,131.23,234249.68,90.10
gist,64,1.0,1.8,MCGI,100,127.90,241976.01,92.21
gist,64,1.0,1.8,MCGI,100,130.13,237783.57,91.06
gist,64,1.0,1.8,MCGI,100,131.40,235521.46,92.30
gist,64,1.0,1.8,MCGI,150,103.18,299211.72,95.56
gist,64,1.0,1.8,MCGI,150,101.46,304201.79,94.13
gist,64,1.0,1.8,MCGI,150,101.48,302436.41,95.76
gist,64,1.0,1.8,MCGI,150,101.09,304140.09,95.00
gist,64,1.0,1.8,MCGI,150,107.13,287904.15,96.01
gist,64,1.0,1.8,MCGI,200,83.83,366412.68,97.05
gist,64,1.0,1.8,MCGI,200,81.82,376538.95,96.19
gist,64,1.0,1.8,MCGI,200,80.24,384549.88,97.29
